Canonical URL,https://www.deathwishcoffee.com/blogs/news/20-spiked-coffee-cocktail-recipes-for-a-legendary-buzz-infographic
Brand name(s),"""Death Wish Spiked Coffee"""

Discovered URL,Successful?,# Backlinks,# Direct,# Domain-only,# Mentions,Domain Pagerank
https://www.pinterest.com/explore/coffee-cocktails/,True,0,0,0,0,
https://www.finedininglovers.com/blog/food-drinks/coffee-cocktail-recipes/,True,3,2,1,0,
https://oink.in/index.php?m=October,False,N/A,N/A,N/A,N/A,
